Date,Value
2017-03-01,102.71
2017-05-01,117.79
2017-06-01,200.29
2017-08-01,188.79
2017-09-01,328.67
2017-11-01,385.0
2017-12-01,623.79
2018-01-01,863.72
2018-02-01,698.92
2018-03-01,743.06
2018-05-01,611.86
2018-06-01,499.05
2018-08-01,433.27
2018-10-01,340.86
2018-11-01,315.34
2019-01-01,191.91
2019-02-01,169.43
2019-03-01,194.32
2019-04-01,210.91
2019-05-01,260.51
2019-07-01,463.69
2019-08-01,439.07
2019-10-01,346.11
2019-11-01,382.41
2020-01-01,294.68
2020-04-01,258.42
2020-05-01,365.58
2020-06-01,399.08
2020-07-01,384.11
2020-09-01,546.03
2020-10-01,462.26
2020-12-01,809.85
2021-01-01,1131.74
2021-02-01,1439.95
2021-03-01,2079.55
2021-04-01,2528.94
2021-06-01,1917.31
2021-07-01,1654.05
2021-09-01,2655.09
2021-10-01,2534.54
2021-11-01,3193.58
2021-12-01,3103.18
2022-02-01,1998.56
2022-03-01,2193.06
2022-04-01,2424.09
2022-06-01,1344.7
2022-07-01,873.61
2022-08-01,1112.23
2022-09-01,999.21
2022-11-01,1023.06
2022-12-01,837.26
2023-02-01,1107.06
